id,time,TRMSE_corr,area_corr,CLength_corr,TRMSE_Rank_corr,area_Rank_corr,CLength_Rank_corr
2301,30,0.24512259227776223,0.85697022760447372,nan,0.5,-0.5,1.0
2303,30,-0.32590966585558967,-0.57766434842020165,0.67117828257874279,0.74125874125874125,0.69930069930069927,0.85314685314685312
2304,30,-0.3030092039953845,-0.32075788210555534,0.21533826411879292,-0.31468531468531469,0.30069930069930068,0.71328671328671334
2305,30,-0.19471464845173664,0.11834244760559817,-0.43159175330201738,-0.14999999999999999,-0.36071428571428571,-0.10714285714285714
2306,30,-0.095828410909891151,-0.064553663190930977,0.26204719587983599,-0.12527472527472527,-0.019780219780219779,0.63956043956043951
2307,30,-0.47796210493288555,0.84557614773239775,-0.28123858942875596,0.028571428571428571,-0.31428571428571428,0.028571428571428571
2308,30,-0.68390743177902691,-0.47804707864747442,0.62775077319591821,0.88095238095238093,0.61904761904761907,0.61904761904761907
2309,30,0.12691901865617855,-0.5756445947000971,0.2993724454567428,-0.21758241758241759,0.54725274725274731,0.69230769230769229
2310,30,0.11496498328686966,-0.48083041041333052,nan,0.071428571428571425,0.10714285714285714,1.0
2311,30,0.11056245080944427,0.63918174211166279,-0.58449303070030323,-0.083333333333333329,-0.18333333333333332,-0.083333333333333329
2312,30,-0.19880910262948417,0.030616421698787068,-0.3121403975060954,0.18627450980392157,-0.095588235294117641,-0.20588235294117646
2315,30,0.3250102895377856,-0.51299913913561312,0.55556620059331296,-0.53636363636363638,0.6454545454545455,0.69999999999999996
2316,30,0.45213785964408942,-0.070701401654975252,0.20176285043262099,-0.50735294117647056,0.25245098039215685,0.24754901960784315
2317,30,0.075229149551293131,0.095333325775259797,-0.026631402052381861,-0.12142857142857143,-0.042857142857142858,0.22857142857142856
2318,30,0.2681090304769978,0.24633265799843093,-0.20126424104240062,-0.028571428571428571,0.0035714285714285713,0.37857142857142856
2319,30,-0.53298535665363123,-0.6195101471893828,0.48130939436271636,0.90000000000000002,1.0,0.90000000000000002
2320,30,-0.24748118304533753,-0.40302632770152008,0.34976831230133598,-0.013986013986013986,0.53146853146853146,0.87412587412587417
2321,30,-0.4811983974006861,0.38480733470781436,-0.2808058563405143,0.16783216783216784,-0.22377622377622378,0.02097902097902098
2322,30,-0.65271043866856682,0.48750725631968772,-0.48529135191507428,0.61904761904761907,-0.9285714285714286,-0.52380952380952384
2323,30,-0.39948708040293041,-0.27997750971257729,0.33101883144639249,0.52075098814229248,0.38142292490118579,0.59387351778656128
2326,30,-1.0,-0.99999999999999978,0.99999999999999989,1.0,1.0,1.0
2327,30,0.3959956687225677,-0.090014634518636422,nan,-0.40000000000000002,-0.59999999999999998,1.0
2328,30,-0.19001464073221686,-0.35565408437242629,0.44658097921032314,0.36363636363636365,0.74545454545454548,0.86363636363636365
2330,30,-0.41534131673160046,0.15415942112349523,-0.25381745635023606,0.55164835164835169,-0.28791208791208789,0.1956043956043956
2331,30,-0.454563453552777,-0.5047527965514832,0.6209778496537921,0.41818181818181815,0.67272727272727273,0.72727272727272729
2332,30,-0.30858235214075697,-0.1899690661682793,0.11274645442229911,0.52696078431372551,0.15441176470588236,0.34803921568627449
2333,30,-0.11764278824924633,0.29814850806069287,0.11865314733215465,0.046439628482972138,-0.21568627450980393,0.35603715170278638
2335,30,0.3180599707788212,0.64002901333801054,0.12616375804341937,0.023809523809523808,0.23809523809523808,0.6428571428571429
2336,30,-0.45213881784156779,-0.1799518092615256,0.1615075659001384,0.5252747252747253,0.098901098901098897,0.2087912087912088
2337,30,-0.051895864113074668,-0.01206463338069361,0.0048019341301419648,0.25,-0.083333333333333329,-0.066666666666666666
2338,30,0.28442525028654553,-0.29890219618136038,0.1184208514114857,-0.8214285714285714,0.25,0.6428571428571429
2339,30,-0.77155244512418308,-0.49398605542525409,9.2775515944463874e-17,0.97575757575757571,0.80606060606060603,1.0
2340,30,-0.49041363964741846,-0.2832164693803626,-1.0493690075893249e-17,0.88095238095238093,0.33333333333333331,1.0
2341,30,-0.4411989115254113,-0.26543275804002708,0.24365450494131141,0.25294117647058822,0.27058823529411763,0.29705882352941176
2342,30,0.029613725770382727,0.057656737213411684,-0.08283169515378197,0.17941176470588235,0.070588235294117646,0.4823529411764706
2343,30,-0.51830045175398753,-0.42509102991007219,0.70391425086107684,0.5,0.10714285714285714,0.42857142857142855
2344,30,-0.76325746136043404,-0.37568976845740959,0.40855225602693784,0.6071428571428571,0.42857142857142855,0.5
2345,30,-0.033274187972262941,0.36956887671191452,-0.38272254590495991,-0.23776223776223776,-0.16783216783216784,-0.15384615384615385
2346,30,-0.035223486046273005,-0.033705041292785787,0.13224483332168946,-0.20439560439560439,0.085714285714285715,0.25714285714285712
2347,30,0.20244404476717953,0.33937769514022198,-0.17796975759616354,-0.19824561403508772,-0.06491228070175438,0.64210526315789473
2348,30,-0.14200827670074895,-0.30167980066307526,0.27535976120153632,0.11208791208791209,0.14725274725274726,0.29230769230769232
2349,30,-0.4067901248423007,-0.4145471296686965,0.17255688106934866,0.33333333333333331,0.45238095238095238,0.80952380952380953
2350,30,-0.34690062180453263,-0.19970126213093239,0.24910295509929969,0.23626373626373626,0.25824175824175827,0.35714285714285715
2351,30,-0.063848297147932109,0.16118240822611868,-0.23307096429508675,0.25882352941176473,0.10588235294117647,0.091176470588235289
2352,30,-0.42106126201769484,0.0326048021152502,0.024153693287111571,0.38333333333333336,0.43333333333333335,0.45000000000000001
2353,30,-0.33062245662395723,-0.19393314265485892,0.36844179088858214,0.37142857142857144,-0.14285714285714285,0.54285714285714282
